LAT,LON,LEVEL,DATE,TIME,VALUE
42.680986,14.592533,0,20230507,12,289.6522
42.680753,14.623012,0,20230507,12,289.6285
42.680512,14.653492,0,20230507,12,289.5945
42.680262,14.683971,0,20230507,12,289.5665
42.680003,14.71445,0,20230507,12,289.5436
42.679735,14.744929,0,20230507,12,289.5156
42.679459,14.775407,0,20230507,12,289.4994
42.679174,14.805886,0,20230507,12,289.4901
42.67888,14.836363,0,20230507,12,289.4859
42.678577,14.866841,0,20230507,12,289.4876
42.678266,14.897318,0,20230507,12,289.4799
42.677945,14.927795,0,20230507,12,289.4748
42.677616,14.958271,0,20230507,12,289.4825
42.677278,14.988748,0,20230507,12,289.4816
42.676932,15.019223,0,20230507,12,289.474
42.676576,15.049699,0,20230507,12,289.4876
42.676212,15.080174,0,20230507,12,289.5062
42.675839,15.110648,0,20230507,12,289.5079
42.675458,15.141123,0,20230507,12,289.5215
42.675067,15.171596,0,20230507,12,289.5436
42.674668,15.20207,0,20230507,12,289.5648
42.67426,15.232543,0,20230507,12,289.6021
42.673843,15.263015,0,20230507,12,289.6378
42.673418,15.293487,0,20230507,12,289.6454
42.672983,15.323959,0,20230507,12,289.6582
42.67254,15.35443,0,20230507,12,289.6853
42.672089,15.384901,0,20230507,12,289.687
42.671628,15.415371,0,20230507,12,289.6718
42.671159,15.445841,0,20230507,12,289.6836
42.67068,15.47631,0,20230507,12,289.7015
42.670193,15.506779,0,20230507,12,289.6921
42.669698,15.537247,0,20230507,12,289.6819
42.669193,15.567714,0,20230507,12,289.6998
42.66868,15.598182,0,20230507,12,289.732
42.668158,15.628648,0,20230507,12,289.749
42.667627,15.659114,0,20230507,12,289.749
42.667088,15.689579,0,20230507,12,289.7575
42.666539,15.720044,0,20230507,12,289.7914
42.665982,15.750508,0,20230507,12,289.8356
42.665417,15.780972,0,20230507,12,289.8806
42.664842,15.811435,0,20230507,12,289.9179
42.664259,15.841898,0,20230507,12,289.9468
42.663666,15.872359,0,20230507,12,289.9655
42.663066,15.902821,0,20230507,12,289.9638
42.662456,15.933281,0,20230507,12,289.9765
42.661837,15.963741,0,20230507,12,290.0062
42.66121,15.9942,0,20230507,12,290.0062
42.660574,16.024659,0,20230507,12,289.9816
42.65993,16.055116,0,20230507,12,289.9969
42.659276,16.085574,0,20230507,12,290.0393
42.658614,16.11603,0,20230507,12,290.0503
42.657943,16.146486,0,20230507,12,290.0546
42.657263,16.176941,0,20230507,12,290.0792
42.656575,16.207395,0,20230507,12,290.0894
42.655877,16.237849,0,20230507,12,290.086
42.655171,16.268301,0,20230507,12,290.1089
42.654456,16.298754,0,20230507,12,290.1395
42.653733,16.329205,0,20230507,12,290.1658
42.653,16.359655,0,20230507,12,290.2048
42.652259,16.390105,0,20230507,12,290.2473
42.651509,16.420554,0,20230507,12,290.2889
42.650751,16.451002,0,20230507,12,290.3211
42.649983,16.481449,0,20230507,12,290.3262
42.649207,16.511896,0,20230507,12,290.322
42.648422,16.542342,0,20230507,12,290.3279
42.647629,16.572786,0,20230507,12,290.316
42.646826,16.60323,0,20230507,12,290.2957
42.646015,16.633674,0,20230507,12,290.3101
